achievement_id,desc,type,typeDescription,unit,unitDescription,current,target
1,R.string.ach_des_34,1,R.string.ach_type_steps,1,R.string.unit_type_steps,0,100
2,R.string.ach_des_2,1,R.string.ach_type_steps,1,R.string.unit_type_steps,0,5000
3,R.string.ach_des_3,1,R.string.ach_type_steps,1,R.string.unit_type_steps,0,10000
4,R.string.ach_des_21,1,R.string.ach_type_steps,1,R.string.unit_type_steps,0,15000
5,R.string.ach_des_22,1,R.string.ach_type_steps,1,R.string.unit_type_steps,0,20000
6,R.string.ach_des_6,2,R.string.ach_type_wfh,2,R.string.unit_type_days,0,1
7,R.string.ach_des_7,2,R.string.ach_type_wfh,2,R.string.unit_type_days,0,5
8,R.string.ach_des_8,2,R.string.ach_type_wfh,2,R.string.unit_type_days,0,10
9,R.string.ach_des_9,2,R.string.ach_type_wfh,2,R.string.unit_type_days,0,50
10,R.string.ach_des_10,3,R.string.ach_type_gym,3,R.string.unit_type_sessions,0,1
11,R.string.ach_des_11,3,R.string.ach_type_gym,3,R.string.unit_type_sessions,0,5
12,R.string.ach_des_14,4,R.string.ach_type_streak,2,R.string.unit_type_days,0,3
13,R.string.ach_des_15,4,R.string.ach_type_streak,2,R.string.unit_type_days,0,7
14,R.string.ach_des_16,4,R.string.ach_type_streak,2,R.string.unit_type_days,0,30
15,R.string.ach_des_17,5,R.string.ach_type_goal,4,R.string.unit_type_goals,0,1
16,R.string.ach_des_23,5,R.string.ach_type_goal,4,R.string.unit_type_goals,0,5
17,R.string.ach_des_18,5,R.string.ach_type_goal,4,R.string.unit_type_goals,0,10
18,R.string.ach_des_24,6,R.string.ach_type_app,6,R.string.unit_type_unlocked,0,1
19,R.string.ach_des_25,6,R.string.ach_type_app,6,R.string.unit_type_unlocked,0,1
20,R.string.ach_des_26,6,R.string.ach_type_app,6,R.string.unit_type_unlocked,0,1
21,R.string.ach_des_27,6,R.string.ach_type_app,6,R.string.unit_type_unlocked,0,1
22,R.string.ach_des_28,6,R.string.ach_type_app,6,R.string.unit_type_unlocked,0,1
23,R.string.ach_des_29,6,R.string.ach_type_app,6,R.string.unit_type_unlocked,0,1
24,R.string.ach_des_32,6,R.string.ach_type_app,6,R.string.unit_type_unlocked,0,1
25,R.string.ach_des_33,6,R.string.ach_type_app,6,R.string.unit_type_unlocked,0,1
26,R.string.ach_des_30,6,R.string.ach_type_app,5,R.string.unit_type_milestones,0,15
27,R.string.ach_des_31,6,R.string.ach_type_app,5,R.string.unit_type_milestones,0,25
